THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score,,
WEIGHT,,,,,,,,,,,,,,,
201582,Chittagong,Chittagong,Satkania,62,0,0,99.32154863,100,3.354485144,21.38074452,,41.93332828,49.05007523,,
201586,Chittagong,Chittagong,Sitakunda,63,0.406787167,24.69926674,67.28867509,66.37936998,1.889223584,12.04149223,,34.77881958,40.60794127,,
202216,Chittagong,Cox'S Bazar,Chakaria,64,0.7459545,45.29279846,90.56829312,90.81287651,6.233701509,39.73223123,,59.13532458,69.34798297,,
202224,Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0,0,65.27944946,64.27055413,2.489001391,15.86434299,,27.67891314,32.23023654,,
202245,Chittagong,Cox'S Bazar,Kutubdia,66,0.774929667,47.05211005,92.93718367,93.2991846,3.670511573,23.39502691,,54.93904054,64.39647705,,
202249,Chittagong,Cox'S Bazar,Maheshkhali,67,0.953649955,57.90363248,77.58953639,77.19080862,5.978226626,38.10389097,,57.78559387,67.75533587,,
202256,Chittagong,Cox'S Bazar,Pekua,68,0.4022955,24.42654211,90.70330765,90.95458323,2.979713752,18.99203477,,45.58099882,53.3542315,,
202266,Chittagong,Cox'S Bazar,Ramu,69,0,0,63.09670798,61.97962186,2.976411124,18.97098455,,27.95184057,32.55228379,,
202290,Chittagong,Cox'S Bazar,Teknaf,70,1.6469605,100,44.80172239,42.7778184,0.767248256,4.890270263,,47.57850662,55.71123869,,
202294,Chittagong,Cox'S Bazar,Ukhia,71,0,0,51.31791621,49.61699695,6.132145778,39.08493752,,30.57352806,35.64580677,,
203014,Chittagong,Feni,Chhagalnaiya,72,0,0,25.15614736,22.15848156,1.284419082,8.186602437,,10.47478565,11.92981406,,
203025,Chittagong,Feni,Daganbhuiyan,73,0,0,19.15301957,15.85779991,0,0,,5.48675093,6.044062966,,
203029,Chittagong,Feni,Feni Sadar,74,0,0,24.70718092,21.68726144,0.657033348,4.187784878,,8.940144019,10.11897689,,
203041,Chittagong,Feni,Fulgazi,75,0,0,18.84776703,15.53741708,0,0,,5.375899437,5.913261091,,
203051,Chittagong,Feni,Parshuram,76,0,0,17.30852691,13.92188226,0,0,,4.816929263,5.25369084,,
203094,Chittagong,Feni,Sonagazi,77,0.559887,33.99516868,29.85142656,27.08648918,0.48358641,3.082272553,,21.00161303,24.35119626,,
