THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score
202266,Chittagong,Cox'S Bazar,Ramu,69,0.568464286,26.12822925,190.9611655,74.90805609,53.99815709,38.03852879,,47.25057391,53.54582969
202290,Chittagong,Cox'S Bazar,Teknaf,70,1.898392571,87.2555014,131.1160544,51.38953757,15.59400807,10.9850624,,48.90378131,55.51548627
202294,Chittagong,Cox'S Bazar,Ukhia,71,0,0,152.0455803,59.61462787,12.58264406,8.863733397,,23.889905,25.71357159
203014,Chittagong,Feni,Chhagalnaiya,72,0,0,83.39121586,32.6341626,7.154253653,5.039751322,,13.1411872,12.90738486
203025,Chittagong,Feni,Daganbhuiyan,73,0,0,75.72937199,29.62313607,0,0,,10.382314,9.620421155
203029,Chittagong,Feni,Feni Sadar,74,0,0,82.61563615,32.32936768,0.592487899,0.417372911,,11.47187686,10.918543
203041,Chittagong,Feni,Fulgazi,75,0,0,69.55220873,27.19557389,0,0,,9.531502232,8.606751004
203051,Chittagong,Feni,Parshuram,76,0,0,64.6026913,25.250464,0,0,,8.849780297,7.794537068
203094,Chittagong,Feni,Sonagazi,77,0.581115,26.70969191,96.92502912,37.95281323,1.076225841,0.758137867,,21.87787017,23.31640253
205133,Chittagong,Lakshmipur,Kamalnagar,78,0,0,72.33094722,28.28758979,0.937170727,0.66018171,,10.1373907,9.328615783
205143,Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.4189185,19.25468121,64.32362965,25.14079562,2.072067555,1.45964984,,15.30245601,15.48235357
205158,Chittagong,Lakshmipur,Roypur,82,0.286878143,13.18573228,53.0508206,20.71069659,1.008361587,0.710331488,,11.60606651,11.07841861
205165,Chittagong,Lakshmipur,Ramganj,80,0,0,52.89106075,20.6479126,0,0,,7.236678506,5.872662931
205173,Chittagong,Lakshmipur,Ramgati,81,0.299840552,13.78152133,85.21079497,33.34923864,5.197914301,3.661625201,,17.21882123,17.7655404
207507,Chittagong,Noakhali,Begumganj,83,0,0,71.53970076,27.976638,0,0,,9.805249507,8.932897693
207510,Chittagong,Noakhali,Chatkhil,84,0,0,58.57459878,22.8814851,0,0,,8.01950079,6.805329369
207521,Chittagong,Noakhali,Companiganj,85,0.415387917,19.09240561,108.7616644,42.60449022,9.290078018,6.544314088,,23.0913329,24.76214059
207536,Chittagong,Noakhali,Hatiya,86,0.603967271,27.76004704,125.3406126,49.11984783,22.99251282,16.19687427,,31.33757062,34.58683428
207547,Chittagong,Noakhali,Kabirhat,87,0,0,86.20628718,33.74045693,0,0,,11.82535224,11.33967897
207580,Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,0,84.7323005,33.16119519,0,0,,11.62233263,11.09779831
207583,Chittagong,Noakhali,Senbagh,89,0,0,74.21319502,29.02729398,0,0,,10.17348332,9.371617088
207585,Chittagong,Noakhali,Sonaimuri,90,0,0,65.33640603,25.53880641,0,0,,8.950838518,7.914939377
207587,Chittagong,Noakhali,Subarnachar,91,0.405456533,18.63593106,116.9991984,45.84175709,8.844003511,6.230080809,,23.97752181,25.8179596
303532,Dhaka,Gopalganj,Gopalganj Sadar,92,0,0,29.86110992,11.59737672,0.102205222,0.071997573,,4.088984605,2.122452291
303543,Dhaka,Gopalganj,Kashiani,93,0,0,26.4680742,10.26394828,0.085106711,0.059952677,,3.617573233,1.560805576
303551,Dhaka,Gopalganj,Kotali Para,94,0.211166,9.70578767,34.15319645,13.28412297,0,0,,7.679110026,6.399782608
303558,Dhaka,Gopalganj,Muksudpur,95,0,0,26.53028964,10.28839831,0.014308367,0.010079404,,3.609283997,1.550929652
303591,Dhaka,Gopalganj,Tungi Para,96,0,0,33.41266456,12.99310149,0.101404407,0.071433446,,4.577967401,2.705033871
308614,Dhaka,Shariatpur,Bhedarganj,97,0,0,39.09189719,15.22498201,1.138421322,0.801950929,,5.607130861,3.931194952
308625,Dhaka,Shariatpur,Damudya,98,0,0,37.98075741,14.7883154,0,0,,5.18300742,3.4258878
308636,Dhaka,Shariatpur,Gosairhat,99,0,0,41.47747274,16.16248888,0.19596084,0.138042897,,5.711289754,4.055291449
308665,Dhaka,Shariatpur,Naria,100,0,0,34.30663845,13.34442411,1.647918778,1.160861949,,5.069354496,3.290479968
308669,Dhaka,Shariatpur,Shariatpur Sadar,101,0,0,34.82864749,13.54956834,0,0,,4.748851464,2.908627756
308694,Dhaka,Shariatpur,Zanjira,102,1.060271739,48.73309326,30.71225038,11.93186625,0.55117367,0.388269464,,19.49317683,20.47524243
400108,Khulna,Bagerhat,Bagerhat Sadar,103,0,0,35.52495223,13.82320901,0,0,,4.844757019,3.0228911
400114,Khulna,Bagerhat,Chitalmari,104,0,0,35.30881568,13.73826955,0.342980314,0.241609478,,4.896657822,3.08472651
400134,Khulna,Bagerhat,Fakirhat,105,0,0,31.17606407,12.1141403,0,0,,4.245762775,2.309240201
400138,Khulna,Bagerhat,Kachua,106,0,0,37.37599132,14.5506485,0.670834572,0.472563538,,5.259448887,3.516961332
400156,Khulna,Bagerhat,Mollahat,107,0,0,31.28270642,12.15604965,0.070960859,0.049987756,,4.277348343,2.346871728
400158,Khulna,Bagerhat,Mongla,108,0.314541,14.45719557,44.04077251,17.16983955,1.643759768,1.157932171,,10.91242092,10.25199864
400160,Khulna,Bagerhat,Morrelganj,109,0,0,41.53784551,16.18621476,4.590745784,3.233910657,,6.766090171,5.311996793
400173,Khulna,Bagerhat,Rampal,110,0,0,35.35865085,13.75785426,0.694763353,0.489419959,,4.98728835,3.192705108
400177,Khulna,Bagerhat,Sarankhola,111,0.476691,21.910069,47.25011219,18.43107733,6.963485192,4.905366151,,14.94271417,15.05375164
404104,Khulna,Jessore,Abhaynagar,112,0,0,24.51357665,9.495850668,0.001871426,0.00131831,,3.328550491,1.216459461
404109,Khulna,Jessore,Bagher Para,113,0,0,20.16125531,7.785432755,0,0,,2.728637755,0.501714255
404111,Khulna,Jessore,Chaugachha,114,0,0,17.10387924,6.583915131,0,0,,2.307529968,0
404123,Khulna,Jessore,Jhikargachha,115,0,0,19.83130768,7.655766701,0,0,,2.683192408,0.447569974
404138,Khulna,Jessore,Keshabpur,116,0,0,23.85825815,9.238317179,0,0,,3.237844554,1.108391021
404147,Khulna,Jessore,Kotwali,117,0,0,20.58810189,7.953179109,0.002384765,0.001679927,,2.787997341,0.572436174
404161,Khulna,Jessore,Manirampur,118,0,0,22.63571628,8.757870688,0,0,,3.069457712,0.907772363
404190,Khulna,Jessore,Sharsha,119,0,0,19.44162476,7.502625286,0,0,,2.629519419,0.383623154
