THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score
202224,Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0,0,159.7409537,51.84724092,12.29490212,8.433812511,,19.91807391,18.47564249
202245,Chittagong,Cox'S Bazar,Kutubdia,66,0.726546,13.11533061,165.2272194,53.63159144,15.53312951,10.65510735,,25.58162068,24.24120077
202249,Chittagong,Cox'S Bazar,Maheshkhali,67,1.682418567,30.37037672,165.2805862,53.64894844,29.64264992,20.33367564,,34.58051767,33.40218542
202256,Chittagong,Cox'S Bazar,Pekua,68,0.315747167,5.699747137,161.4722884,52.41033942,44.19069956,30.31305749,,29.46999323,28.19961048
202266,Chittagong,Cox'S Bazar,Ramu,69,0,0,156.7946616,50.88899023,6.661706647,4.569665079,,18.280329,16.8083986
202290,Chittagong,Cox'S Bazar,Teknaf,70,1.651212111,29.80704971,150.8489444,48.95520791,39.96153028,27.41201603,,35.27675707,34.11096544
202294,Chittagong,Cox'S Bazar,Ukhia,71,0,0,154.476112,50.13490623,14.77807821,10.13717227,,19.93879939,18.49674128
203014,Chittagong,Feni,Chhagalnaiya,72,0,0,122.3811517,39.69635612,9.399548974,6.447715725,,15.24681632,13.72024646
203025,Chittagong,Feni,Daganbhuiyan,73,0,0,121.9585686,39.55891539,0,0,,12.99414139,11.42699647
203029,Chittagong,Feni,Feni Sadar,74,0,0,122.3364141,39.68180569,2.711248154,1.859808104,,13.67125745,12.1163087
203041,Chittagong,Feni,Fulgazi,75,0,0,115.1259435,37.33667555,0,0,,12.26418966,10.68389688
203051,Chittagong,Feni,Parshuram,76,0,0,111.6410449,36.20324874,0,0,,11.89188652,10.30488784
203094,Chittagong,Feni,Sonagazi,77,1.221114,22.04308305,131.6646676,42.71572256,5.100179311,3.498519603,,22.48436942,21.08816198
205133,Chittagong,Lakshmipur,Kamalnagar,78,0,0,129.1528974,41.89879558,1.973989196,1.354077862,,14.22633591,12.6813852
205143,Chittagong,Lakshmipur,Lakshmipur Sadar,79,1.948137,35.16702428,119.2596673,38.68112598,8.712764213,5.976608769,,26.32728746,25.00029845
205158,Chittagong,Lakshmipur,Roypur,82,1.024361826,18.49138803,104.8478141,33.99382148,8.256092783,5.663350381,,19.19157619,17.73605914
205165,Chittagong,Lakshmipur,Ramganj,80,0,0,104.6440413,33.92754651,0,0,,11.1443737,9.543910859
205173,Chittagong,Lakshmipur,Ramgati,81,2.23501686,40.34566983,151.6502788,49.21583354,21.68592112,14.87567701,,34.53904437,33.3599651
207507,Chittagong,Noakhali,Begumganj,83,0,0,120.7220716,39.15675768,0,0,,12.86204236,11.29251808
207510,Chittagong,Noakhali,Chatkhil,84,0,0,110.6092558,35.86767012,0,0,,11.78165711,10.19267299
207521,Chittagong,Noakhali,Companiganj,85,1.2406931,22.39651748,138.9256084,45.0772676,14.24548014,9.77183124,,25.52423024,24.18277662
207536,Chittagong,Noakhali,Hatiya,86,2.579797796,46.56952346,229.6587782,74.58728195,65.02063742,44.60156413,,55.09889783,54.29014155
207547,Chittagong,Noakhali,Kabirhat,87,0,0,131.926515,42.80088569,0,0,,14.05904977,12.51108592
207580,Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,0,135.3872439,43.92645156,0,0,,14.42877078,12.88746632
207583,Chittagong,Noakhali,Senbagh,89,0,0,121.7953074,39.50581639,0,0,,12.97669966,11.40924058
207585,Chittagong,Noakhali,Sonaimuri,90,0,0,114.9811728,37.2895904,0,0,,12.24872333,10.66815198
207587,Chittagong,Noakhali,Subarnachar,91,1.324321277,23.90614136,159.8367971,51.87841298,13.51733983,9.272356027,,28.0841273,26.78878241
303532,Dhaka,Gopalganj,Gopalganj Sadar,92,0,0,53.19727193,17.19502294,0.50655033,0.347473324,,5.767112512,4.069794726
303543,Dhaka,Gopalganj,Kashiani,93,0,0,50.72453847,16.39079225,0.384517175,0.263763447,,5.474282224,3.771689995
303551,Dhaka,Gopalganj,Kotali Para,94,0.211166,3.811887895,62.03796746,20.07036668,0,0,,7.847312091,6.18746275
303558,Dhaka,Gopalganj,Muksudpur,95,0,0,56.61073264,18.30521533,0.348424578,0.239005365,,6.094647117,4.403228867
303591,Dhaka,Gopalganj,Tungi Para,96,0,0,50.85675838,16.43379539,0.624829919,0.428608405,,5.544846307,3.843525074
308614,Dhaka,Shariatpur,Bhedarganj,97,0,0,85.02764544,27.54751896,9.481069966,6.503635874,,11.27536444,9.677260995
308625,Dhaka,Shariatpur,Damudya,98,0,0,81.67862011,26.4582835,0,0,,8.690902501,7.046247866
308636,Dhaka,Shariatpur,Gosairhat,99,0,0,86.60291736,28.05985967,3.827032456,2.625191636,,10.11577817,8.496788323
308665,Dhaka,Shariatpur,Naria,100,0,0,78.37475023,25.38373438,6.187667074,4.244492837,,9.791142436,8.166305264
308669,Dhaka,Shariatpur,Shariatpur Sadar,101,0,0,75.27041506,24.37408184,0,0,,8.006292957,6.349307171
308694,Dhaka,Shariatpur,Zanjira,102,1.135440095,20.49653047,74.51290851,24.12771076,2.909938336,1.996101645,,15.35522258,13.83060532
400108,Khulna,Bagerhat,Bagerhat Sadar,103,0,0,40.94099467,13.20879697,0,0,,4.338768485,2.615723442
400114,Khulna,Bagerhat,Chitalmari,104,0,0,48.42893092,15.64416991,1.350727717,0.926545344,,5.45595411,3.753031756
400134,Khulna,Bagerhat,Fakirhat,105,0,0,35.79674816,11.5356846,0,0,,3.789191773,2.056247784
400138,Khulna,Bagerhat,Kachua,106,0,0,47.81648352,15.4449778,0.52321965,0.358907813,,5.196180124,3.488578734
400156,Khulna,Bagerhat,Mollahat,107,0,0,43.36203325,13.99621444,0.355536482,0.243883847,,4.680915412,2.964033101
400158,Khulna,Bagerhat,Mongla,108,0.346507857,6.255027352,85.54232116,27.71491185,4.359224861,2.990254401,,12.18630462,10.60460898
400160,Khulna,Bagerhat,Morrelganj,109,0,0,54.12817306,17.49778879,4.329344677,2.969757786,,6.76436525,5.085009928
400173,Khulna,Bagerhat,Rampal,110,0,0,33.82504998,10.8944104,1.071782946,0.735200356,,3.830262142,2.09805791
400177,Khulna,Bagerhat,Sarankhola,111,0.25787,4.654970647,103.6438529,33.60224569,8.139240328,5.583194257,,14.48124578,12.9408865
404104,Khulna,Jessore,Abhaynagar,112,0,0,32.95071759,10.61004293,0.019220116,0.013184233,,3.489654938,1.751315707
404109,Khulna,Jessore,Bagher Para,113,0,0,40.09648274,12.9341283,0,0,,4.248546508,2.523876392
404111,Khulna,Jessore,Chaugachha,114,0,0,40.37866419,13.02590486,0,0,,4.278692877,2.554565756
404123,Khulna,Jessore,Jhikargachha,115,0,0,36.02304832,11.60928636,0,0,,3.813368161,2.080859635
404138,Khulna,Jessore,Keshabpur,116,0,0,25.12381252,8.064423933,0,0,,2.648967086,0.895485429
404147,Khulna,Jessore,Kotwali,117,0,0,38.35024085,12.36618139,0.010185786,0.006987043,,4.064381945,2.336394667
404161,Khulna,Jessore,Manirampur,118,0,0,31.22646119,10.04924658,0,0,,3.30093304,1.55919456
404190,Khulna,Jessore,Sharsha,119,0,0,35.91146128,11.57299385,0,0,,3.801446952,2.068723702
404712,Khulna,Khulna,Batiaghata,120,0,0,24.01698515,7.704439909,0.551972393,0.378631048,,2.660354445,0.907077897
404717,Khulna,Khulna,Dacope,121,0,0,74.24091746,24.03924852,3.362442826,2.306501678,,8.68599412,7.041251076
404730,Khulna,Khulna,Dighalia,122,0,0,31.62038842,10.17736729,0.012439648,0.008533102,,3.345939088,1.605011254
404740,Khulna,Khulna,Dumuria,123,0,0,25.69245688,8.249369563,0.173659943,0.119123795,,2.750502093,0.99884928
404753,Khulna,Khulna,Koyra,125,0,0,66.83448685,21.63038444,2.346878603,1.609865124,,7.656230758,5.99293967
404764,Khulna,Khulna,Paikgachha,126,0,0,15.33926005,4.882100595,0.705433496,0.483899244,,1.76932571,0
