THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score,,,,
WEIGHT,,,,,,,,,,,,,,,,,
205143,Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.2425585,,25.96955368,,1.094632224,,,0,#DIV/0!,,,,
205158,Chittagong,Lakshmipur,Roypur,82,0.1881434,,26.85728347,,1.512000725,,,0,#DIV/0!,,,,
205165,Chittagong,Lakshmipur,Ramganj,80,0,,26.58626474,,0,,,0,#DIV/0!,,,,
205173,Chittagong,Lakshmipur,Ramgati,81,0.231211739,,23.23582008,,2.142756819,,,0,#DIV/0!,,,,
207507,Chittagong,Noakhali,Begumganj,83,0,,23.81461755,,0,,,0,#DIV/0!,,,,
207510,Chittagong,Noakhali,Chatkhil,84,0,,25.65892694,,0,,,0,#DIV/0!,,,,
207521,Chittagong,Noakhali,Companiganj,85,0.35390255,,21.01322176,,1.426595522,,,0,#DIV/0!,,,,
207536,Chittagong,Noakhali,Hatiya,86,0.470555153,,24.06757533,,4.677453166,,,0,#DIV/0!,,,,
207547,Chittagong,Noakhali,Kabirhat,87,0,,21.42502405,,0,,,0,#DIV/0!,,,,
207580,Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,,23.04419785,,0,,,0,#DIV/0!,,,,
207583,Chittagong,Noakhali,Senbagh,89,0,,24.1399359,,0,,,0,#DIV/0!,,,,
207585,Chittagong,Noakhali,Sonaimuri,90,0,,24.88793543,,0,,,0,#DIV/0!,,,,
207587,Chittagong,Noakhali,Subarnachar,91,0.2810613,,21.39870813,,1.432629477,,,0,#DIV/0!,,,,
303532,Dhaka,Gopalganj,Gopalganj Sadar,92,0,,32.49826919,,0.241692072,,,0,#DIV/0!,,,,
303543,Dhaka,Gopalganj,Kashiani,93,0,,32.6073057,,0.097553293,,,0,#DIV/0!,,,,
303551,Dhaka,Gopalganj,Kotali Para,94,0.211166,,31.19477822,,0,,,0,#DIV/0!,,,,
303558,Dhaka,Gopalganj,Muksudpur,95,0,,32.38024934,,0.086383342,,,0,#DIV/0!,,,,
303591,Dhaka,Gopalganj,Tungi Para,96,0,,31.54572019,,0.195537383,,,0,#DIV/0!,,,,
308614,Dhaka,Shariatpur,Bhedarganj,97,0,,29.73250329,,1.670975927,,,0,#DIV/0!,,,,
308625,Dhaka,Shariatpur,Damudya,98,0,,29.32135907,,0,,,0,#DIV/0!,,,,
308636,Dhaka,Shariatpur,Gosairhat,99,0,,29.13636486,,0.320357129,,,0,#DIV/0!,,,,
308665,Dhaka,Shariatpur,Naria,100,0,,30.20244725,,0.823989944,,,0,#DIV/0!,,,,
308669,Dhaka,Shariatpur,Shariatpur Sadar,101,0,,30.3948176,,0,,,0,#DIV/0!,,,,
308694,Dhaka,Shariatpur,Zanjira,102,0.302287429,,31.02768386,,0.868985469,,,0,#DIV/0!,,,,
400108,Khulna,Bagerhat,Bagerhat Sadar,103,0,,32.2079882,,0,,,0,#DIV/0!,,,,
400114,Khulna,Bagerhat,Chitalmari,104,0,,31.68074555,,0.321572486,,,0,#DIV/0!,,,,
400134,Khulna,Bagerhat,Fakirhat,105,0,,32.5129164,,0,,,0,#DIV/0!,,,,
400138,Khulna,Bagerhat,Kachua,106,0,,31.27651197,,0.319218245,,,0,#DIV/0!,,,,
400156,Khulna,Bagerhat,Mollahat,107,0,,32.04811909,,0.202460782,,,0,#DIV/0!,,,,
400158,Khulna,Bagerhat,Mongla,108,0.574594889,,34.17587019,,0.558673378,,,0,#DIV/0!,,,,
400160,Khulna,Bagerhat,Morrelganj,109,0,,31.96722515,,1.168668114,,,0,#DIV/0!,,,,
400173,Khulna,Bagerhat,Rampal,110,0,,32.65347044,,0.32461034,,,0,#DIV/0!,,,,
400177,Khulna,Bagerhat,Sarankhola,111,0.904953,,33.19155246,,2.458778622,,,0,#DIV/0!,,,,
404104,Khulna,Jessore,Abhaynagar,112,0,,33.72932393,,0.00668836,,,0,#DIV/0!,,,,
404109,Khulna,Jessore,Bagher Para,113,0,,34.20646936,,0,,,0,#DIV/0!,,,,
404111,Khulna,Jessore,Chaugachha,114,0,,34.89842379,,0,,,0,#DIV/0!,,,,
404123,Khulna,Jessore,Jhikargachha,115,0,,34.65144529,,0,,,0,#DIV/0!,,,,
404138,Khulna,Jessore,Keshabpur,116,0,,34.17392851,,0,,,0,#DIV/0!,,,,
404147,Khulna,Jessore,Kotwali,117,0,,34.39696682,,0.004775799,,,0,#DIV/0!,,,,
404161,Khulna,Jessore,Manirampur,118,0,,34.33476388,,0,,,0,#DIV/0!,,,,
404190,Khulna,Jessore,Sharsha,119,0,,34.86769091,,0,,,0,#DIV/0!,,,,
404712,Khulna,Khulna,Batiaghata,120,0,,33.1774398,,0.299201401,,,0,#DIV/0!,,,,
404717,Khulna,Khulna,Dacope,121,0,,34.34426,,2.83903893,,,0,#DIV/0!,,,,
404730,Khulna,Khulna,Dighalia,122,0,,32.86141044,,0.003655228,,,0,#DIV/0!,,,,
404740,Khulna,Khulna,Dumuria,123,0,,33.73716809,,0.176771326,,,0,#DIV/0!,,,,
404753,Khulna,Khulna,Koyra,125,0,,34.73080235,,2.241280917,,,0,#DIV/0!,,,,
404764,Khulna,Khulna,Paikgachha,126,0,,33.76229138,,0.651055021,,,0,#DIV/0!,,,,
404769,Khulna,Khulna,Phultala,127,0,,33.34663858,,0.003553904,,,0,#DIV/0!,,,,
404775,Khulna,Khulna,Rupsa,128,0,,32.65066348,,0.117053055,,,0,#DIV/0!,,,,
404794,Khulna,Khulna,Terokhada,129,0,,32.63523306,,0,,,0,#DIV/0!,,,,
406528,Khulna,Narail,Kalia,130,0,,33.01528826,,0.675925454,,,0,#DIV/0!,,,,
